tag,year,doxygen,configen,overhead
1.4.0,2007,10.04919314,12.70569801,1.264350066
1.4.2,2007,10.42622685,13.0451653,1.251187556
1.5.1,2007,10.09685779,12.82496667,1.27019385
1.5.2,2008,10.18633151,13.73538804,1.34841361
1.6.0,2007,10.44411421,13.68342161,1.31015626
1.6.1,2007,10.39338875,13.25503588,1.275333406
1.6.2,2007,10.50419569,13.47070622,1.282411964
1.7.0,2007,10.46675777,13.66421366,1.305486756
1.7.1,2007,10.52919841,13.63607597,1.295072563
1.7.2,2007,10.40653896,13.76292992,1.322527112
1.7.3,2007,10.35320711,13.57254028,1.31095033
1.7.4,2007,10.36989355,13.7026453,1.321387267
1.7.5,2008,10.58225179,14.08261967,1.330777225
1.8.0,2007,11.25790715,14.43836808,1.282509074
1.8.1,2007,11.15041733,14.1272881,1.266973934
1.8.2,2007,10.93865538,14.07930303,1.287114599
1.8.3,2008,11.03957891,14.19951677,1.286237173
1.9.0,2007,10.91634679,14.24606037,1.305020869
1.9.1,2008,11.00957561,14.05556297,1.276667101
1.9.2,2008,11.07333302,14.57543707,1.316264673
1.10.0,2008,12.05173969,17.43903732,1.447014105
1.10.3,2008,12.86624932,16.10299444,1.251568661
1.11.0,2008,12.21752715,16.0277369,1.311864234
1.11.1,2008,12.52031898,15.71438837,1.255110863
1.11.2,2008,12.33945394,16.49610353,1.336858471
1.11.3,2008,14.02777553,15.85921192,1.130557863
1.12.0,2008,14.65383482,15.7047174,1.071713827
1.12.1,2008,14.36001563,16.8286798,1.171912359
1.12.2,2008,15.23108959,16.11174154,1.057819366
1.12.3,2008,14.58007574,16.17203403,1.109187244
1.12.4,2008,12.64360642,16.23363924,1.28394057
1.13.0,2008,12.16444445,16.05154562,1.319546132
1.13.1,2008,12.28240609,16.5679698,1.348918907
1.13.2,2008,12.51950431,16.21552634,1.295221116
1.13.3,2009,12.46455693,16.16818166,1.297132481
1.13.4,2009,12.29825139,16.31103396,1.326288872
1.14.0,2009,12.87579441,16.72119617,1.298653554
1.14.1,2009,13.20689988,16.79376841,1.271590499
1.14.2,2009,12.61843991,17.3968339,1.37868342
1.14.3,2009,12.85625339,16.87167215,1.312331956
1.14.4,2009,12.80613041,18.39150858,1.436148781
1.15.0,2009,13.95537424,18.4938333,1.325212279
1.15.1,2009,14.16457629,19.76779699,1.395579831
1.15.2,2009,14.41176343,18.59673166,1.290385577
1.15.3,2009,13.77307463,19.87709999,1.443185384
1.16.0,2010,13.76630974,19.51718521,1.417749969
1.16.1,2010,13.50242519,17.58925533,1.302673785
1.16.2,2010,13.71812654,19.50614834,1.421925092
1.17.0,2010,14.80851483,20.42094874,1.379000458
1.17.1,2010,15.94377065,20.39006901,1.278873703
1.17.2,2010,14.74966717,19.22582269,1.303475019
1.17.3,2010,14.15190935,19.8374064,1.401747701
1.17.4,2010,14.57796931,19.9667294,1.369650942
1.18.0,2010,15.01789618,20.35778403,1.355568303
1.18.1,2010,15.74479342,20.58718395,1.307555038
