Version,Year,Total ConfiGen files,Files with Configuration Symbols,Configuration Symbols Per File,Ratio of Files with Configuration Symbols and Total ConfiGen files,Ratio of Configuration Symbols Per File
1.4.0,2007,593,173,497,0.291736931,2.87283237
1.4.2,2007,593,173,496,0.291736931,2.867052023
1.5.1,2007,597,184,517,0.308207705,2.809782609
1.5.2,2008,597,184,517,0.308207705,2.809782609
1.6.0,2007,603,197,564,0.326699834,2.862944162
1.6.1,2007,603,197,564,0.326699834,2.862944162
1.6.2,2007,603,197,563,0.326699834,2.85786802
1.7.0,2007,610,205,585,0.336065574,2.853658537
1.7.1,2007,610,207,587,0.339344262,2.835748792
1.7.2,2007,610,207,588,0.339344262,2.84057971
1.7.3,2007,610,207,588,0.339344262,2.84057971
1.7.4,2007,610,207,588,0.339344262,2.84057971
1.7.5,2008,610,207,588,0.339344262,2.84057971
1.8.0,2007,622,215,618,0.345659164,2.874418605
1.8.1,2007,622,215,618,0.345659164,2.874418605
1.8.2,2007,622,215,618,0.345659164,2.874418605
1.8.3,2008,622,215,618,0.345659164,2.874418605
1.9.0,2007,624,223,636,0.357371795,2.852017937
1.9.1,2008,624,223,636,0.357371795,2.852017937
1.9.2,2008,624,223,636,0.357371795,2.852017937
1.10.0,2008,678,242,705,0.356932153,2.91322314
1.10.3,2008,678,242,705,0.356932153,2.91322314
1.11.0,2008,694,245,725,0.353025937,2.959183673
1.11.1,2008,694,245,728,0.353025937,2.971428571
1.11.2,2008,694,245,728,0.353025937,2.971428571
1.11.3,2008,694,245,727,0.353025937,2.967346939
1.12.0,2008,699,252,756,0.360515021,3
1.12.1,2008,699,252,757,0.360515021,3.003968254
1.12.2,2008,699,252,757,0.360515021,3.003968254
1.12.3,2008,699,252,757,0.360515021,3.003968254
1.12.4,2008,699,253,758,0.361945637,2.996047431
1.13.0,2008,710,263,773,0.370422535,2.939163498
1.13.1,2008,710,263,774,0.370422535,2.942965779
1.13.2,2008,710,264,775,0.371830986,2.935606061
1.13.3,2009,710,264,777,0.371830986,2.943181818
1.13.4,2009,710,264,777,0.371830986,2.943181818
1.14.0,2009,722,275,804,0.380886427,2.923636364
1.14.1,2009,722,275,805,0.380886427,2.927272727
1.14.2,2009,722,275,805,0.380886427,2.927272727
1.14.3,2009,722,275,805,0.380886427,2.927272727
1.14.4,2009,722,275,805,0.380886427,2.927272727
1.15.0,2009,739,286,854,0.387009472,2.986013986
1.15.1,2009,739,286,854,0.387009472,2.986013986
1.15.2,2009,739,286,854,0.387009472,2.986013986
1.15.3,2009,739,286,854,0.387009472,2.986013986
1.16.0,2010,761,300,911,0.394218134,3.036666667
1.16.1,2010,761,299,910,0.392904074,3.043478261
1.16.2,2010,761,299,910,0.392904074,3.043478261
1.17.0,2010,770,301,954,0.390909091,3.169435216
1.17.1,2010,770,301,954,0.390909091,3.169435216
1.17.2,2010,771,302,955,0.391699092,3.162251656
1.17.3,2010,771,302,955,0.391699092,3.162251656
1.17.4,2010,771,302,955,0.391699092,3.162251656
1.18.0,2010,779,313,983,0.401797176,3.14057508
1.18.1,2010,779,313,984,0.401797176,3.143769968
1.18.2,2011,779,312,982,0.400513479,3.147435897
1.18.3,2011,779,312,982,0.400513479,3.147435897
1.18.4,2011,779,312,982,0.400513479,3.147435897
1.18.5,2011,779,312,982,0.400513479,3.147435897
1.19.0,2011,785,320,1010,0.407643312,3.15625
1.19.1,2011,785,320,1010,0.407643312,3.15625
1.19.2,2011,785,320,1010,0.407643312,3.15625
1.19.3,2011,785,320,1010,0.407643312,3.15625
1.19.4,2012,785,320,1010,0.407643312,3.15625
1.20.0,2012,792,324,1027,0.409090909,3.169753086
1.20.1,2012,792,324,1027,0.409090909,3.169753086
1.20.2,2012,792,324,1027,0.409090909,3.169753086
1.21.0,2013,796,324,1043,0.407035176,3.219135802
1.21.1,2013,796,324,1043,0.407035176,3.219135802
1.22.0,2014,799,323,1051,0.404255319,3.253869969
1.22.1,2014,799,323,1051,0.404255319,3.253869969
1.23.0,2014,807,324,1076,0.401486989,3.320987654
1.23.1,2015,807,324,1077,0.401486989,3.324074074
1.23.2,2015,807,324,1077,0.401486989,3.324074074
1.24.0,2015,686,317,1087,0.462099125,3.429022082
1.24.1,2015,686,317,1087,0.462099125,3.429022082
1.24.2,2016,686,317,1087,0.462099125,3.429022082
1.25.0,2016,693,319,1102,0.46031746,3.454545455
1.25.1,2016,693,319,1102,0.46031746,3.454545455
1.26.0,2016,691,318,1137,0.460202605,3.575471698
1.26.1,2017,691,318,1142,0.460202605,3.591194969
1.26.2,2017,691,318,1142,0.460202605,3.591194969
1.27.0,2017,719,321,1193,0.446453408,3.716510903
1.27.1,2017,719,321,1194,0.446453408,3.719626168
1.27.2,2017,719,321,1195,0.446453408,3.722741433
1.28.0,2018,728,322,1199,0.442307692,3.723602484
1.28.1,2018,728,322,1199,0.442307692,3.723602484
1.28.2,2018,728,322,1199,0.442307692,3.723602484
1.28.3,2018,728,322,1199,0.442307692,3.723602484
1.28.4,2018,728,322,1197,0.442307692,3.717391304
1.29.0,2018,732,323,1225,0.441256831,3.792569659
1.29.1,2018,732,323,1225,0.441256831,3.792569659
1.29.2,2018,732,323,1225,0.441256831,3.792569659
1.29.3,2018,732,323,1225,0.441256831,3.792569659
1.30.0,2018,739,328,1261,0.443843031,3.844512195
1.30.1,2019,739,328,1261,0.443843031,3.844512195
1.31.0,2019,739,329,1271,0.445196211,3.863221884
1.31.1,2019,739,329,1270,0.445196211,3.860182371
1.32.0,2020,740,329,1270,0.444594595,3.860182371
1.32.1,2021,740,329,1270,0.444594595,3.860182371
1.33.0,2020,741,330,1286,0.44534413,3.896969697
1.33.1,2021,741,330,1286,0.44534413,3.896969697
1.33.2,2021,741,330,1286,0.44534413,3.896969697
1.34.0,2021,743,331,1297,0.445491252,3.918429003
1.34.1,2021,743,331,1297,0.445491252,3.918429003
1.35.0,2021,744,332,1301,0.446236559,3.918674699
1.36.0,2023,747,334,1316,0.447121821,3.94011976
1.36.1,2023,747,334,1318,0.447121821,3.946107784
