tag,year,doxygen,configen,overhead
0.0.2,2007,1.166904926,1.390042067,1.191221354
0.0.3,2007,1.786609888,1.417000055,0.793122251
0.0.4,2008,1.518648863,1.705879927,1.123287923
0.0.5,2008,1.204123259,1.693164825,1.406139125
0.0.6,2008,1.214120865,1.637421608,1.348647944
0.0.7,2008,1.244984865,1.61781168,1.299462929
0.0.8,2009,1.295646906,1.746260405,1.347790356
0.0.9.1,2009,1.246767521,1.654047489,1.326668734
0.0.9.2,2009,1.2908988,1.937938929,1.501232264
0.2.0,2012,1.316274643,1.784102201,1.355417892
0.2.1,2012,1.415363789,2.116277218,1.495217862
0.3.0,2012,1.500110388,2.054925442,1.369849485
0.3.1,2012,1.480355978,2.160513878,1.459455638
0.4.0,2012,1.525665522,2.268709183,1.487029202
0.4.1,2012,1.547180414,2.251731634,1.455377546
0.4.2,2012,1.595986605,2.768638849,1.734750681
0.4.3,2013,1.662539005,2.705274105,1.627194367
0.4.4,2013,1.638054371,3.000425816,1.831700992
0.4.5,2013,1.875555515,3.901130915,2.079986907
0.4.6,2013,2.322875261,4.040997744,1.739653356
0.4.7,2013,2.488185883,3.562273502,1.431674992
0.4.8,2014,2.756487846,4.474271774,1.623178488
0.4.9,2014,2.911000252,4.243887424,1.457879443
0.5.0,2014,3.056686401,4.309309006,1.409797552
0.5.1,2014,3.182313681,4.471908569,1.405238144
0.5.2,2015,3.168516397,4.547473907,1.435206051
0.6.0,2015,3.240223408,4.680460691,1.444487031
0.6.1,2015,3.370929003,5.034190416,1.493413362
0.7.0,2016,3.400120974,4.962018251,1.459365208
0.7.1,2016,3.686823606,5.156022787,1.398499993
0.7.2,2016,3.766344547,5.755194664,1.528058464
0.7.3,2017,3.830087662,5.289862871,1.381133629
0.7.4,2017,3.821732759,5.33986783,1.39723737
0.7.5,2017,4.105157852,5.200572491,1.266838616
0.7.6,2018,4.034412146,5.239051819,1.298591128
0.7.7,2018,3.611314297,5.229247093,1.44801772
0.7.8,2018,4.347540617,5.687629461,1.308240673
0.8.0,2019,4.395789146,5.688835621,1.294155709
0.8.1,2019,4.438321829,6.320735693,1.424127392
0.8.2,2019,4.544408321,5.976491451,1.315130822
0.8.3,2020,4.755917072,6.565041304,1.380394402
0.8.4,2020,4.406336308,6.070157051,1.377597312
0.8.5,2021,4.52731967,6.200346231,1.369540188
0.8.7,2022,4.823622704,6.312767744,1.30871922
0.8.8,2022,4.470987797,6.109306335,1.366433239
0.8.9,2023,4.444261551,6.308358669,1.419439112
0.8.10,2023,4.653631687,6.558029652,1.409228339
