Version,Year,Total ConfiGen files,Files with Configuration Symbols,Configuration Symbols Per File,Ratio of Files with Configuration Symbols and Total ConfiGen files,Ratio of Configuration Symbols Per File
0.0.2,2007,40,5,10,0.125,2
0.0.3,2007,50,8,13,0.16,1.625
0.0.4,2008,62,11,16,0.177419355,1.454545455
0.0.5,2008,64,10,16,0.15625,1.6
0.0.6,2008,67,10,16,0.149253731,1.6
0.0.7,2008,69,11,18,0.15942029,1.636363636
0.0.8,2009,72,13,21,0.180555556,1.615384615
0.0.9.1,2009,72,13,21,0.180555556,1.615384615
0.0.9.2,2009,72,13,21,0.180555556,1.615384615
0.2.0,2012,85,15,27,0.176470588,1.8
0.2.1,2012,101,17,29,0.168316832,1.705882353
0.3.0,2012,118,22,34,0.186440678,1.545454545
0.3.1,2012,118,23,35,0.194915254,1.52173913
0.4.0,2012,124,25,38,0.201612903,1.52
0.4.1,2012,129,26,39,0.201550388,1.5
0.4.2,2012,134,28,42,0.208955224,1.5
0.4.3,2013,136,28,42,0.205882353,1.5
0.4.4,2013,138,27,41,0.195652174,1.518518519
0.4.5,2013,152,30,44,0.197368421,1.466666667
0.4.6,2013,178,40,56,0.224719101,1.4
0.4.7,2013,191,43,59,0.22513089,1.372093023
0.4.8,2014,209,48,64,0.229665072,1.333333333
0.4.9,2014,221,52,66,0.235294118,1.269230769
0.5.0,2014,228,60,80,0.263157895,1.333333333
0.5.1,2014,233,61,82,0.261802575,1.344262295
0.5.2,2015,236,66,88,0.279661017,1.333333333
0.6.0,2015,246,68,94,0.276422764,1.382352941
0.6.1,2015,252,70,95,0.277777778,1.357142857
0.7.0,2016,256,70,98,0.2734375,1.4
0.7.1,2016,260,72,101,0.276923077,1.402777778
0.7.2,2016,267,73,102,0.27340824,1.397260274
0.7.3,2017,269,74,103,0.275092937,1.391891892
0.7.4,2017,270,75,104,0.277777778,1.386666667
0.7.5,2017,271,76,105,0.280442804,1.381578947
0.7.6,2018,273,77,106,0.282051282,1.376623377
0.7.7,2018,275,77,105,0.28,1.363636364
0.7.8,2018,277,79,107,0.285198556,1.35443038
0.8.0,2019,278,79,106,0.284172662,1.341772152
0.8.1,2019,282,79,107,0.280141844,1.35443038
0.8.2,2019,279,78,106,0.279569892,1.358974359
0.8.3,2020,282,78,104,0.276595745,1.333333333
0.8.4,2020,284,75,101,0.264084507,1.346666667
0.8.5,2021,286,77,100,0.269230769,1.298701299
0.8.7,2022,288,71,93,0.246527778,1.309859155
0.8.8,2022,288,70,92,0.243055556,1.314285714
0.8.9,2023,290,70,92,0.24137931,1.314285714
0.8.10,2023,291,71,93,0.243986254,1.309859155
